                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1799,                 2.9584,                  1.249,                      1,                0.10763,                0.78793,                0.57778,                0.91409,                 2.7796,                 1.0236,                 0.0706,              0.0032667,              0.0032667
                      1,                 1.0772,                 1.2192,                 1.0716,                      1,                0.42897,                0.93012,                0.63734,                 1.0366,                  2.225,                 1.0896,               0.040469,              0.0064693,              0.0064693
                      2,                 1.0925,                 1.0424,                 1.0878,                0.95481,                0.89815,                0.95322,                0.68866,                 0.9969,                0.89103,                 1.0832,               0.010207,                0.00954,                0.00954
                      3,                 1.1281,                 1.0205,                 1.0951,                0.85558,                0.84259,                0.89869,                0.61996,                 1.0099,                 1.1964,                 1.1148,               0.009406,               0.009406,               0.009406
                      4,                 1.1314,                0.96508,                 1.1027,                 0.9095,                 0.9537,                0.97286,                 0.7013,                0.96776,                0.83266,                 1.1061,               0.009406,               0.009406,               0.009406
                      5,                 1.1161,                0.92124,                 1.0958,                0.96847,                 0.9213,                0.98151,                0.72604,                0.93305,                0.72966,                 1.0656,               0.009208,               0.009208,               0.009208
                      6,                 1.0844,                0.87491,                 1.0882,                 0.9702,                0.93519,                0.98148,                0.70495,                0.96819,                0.90484,                  1.076,                0.00901,                0.00901,                0.00901
                      7,                 1.0981,                0.84333,                 1.0877,                0.94359,                  0.875,                0.96449,                 0.6981,                 1.0168,                0.84597,                 1.1168,               0.008812,               0.008812,               0.008812
                      8,                 1.0742,                 0.8039,                 1.0774,                0.96726,                0.96759,                0.99135,                0.74008,                0.92615,                0.62732,                 1.0444,               0.008614,               0.008614,               0.008614
                      9,                 1.0554,                0.77935,                 1.0797,                0.97639,                0.97685,                0.99258,                0.71932,                0.95696,                0.66332,                 1.0709,               0.008416,               0.008416,               0.008416
                     10,                 1.0628,                0.75837,                 1.0795,                0.99356,                0.97222,                0.99341,                0.74796,                0.89755,                0.55822,                  1.021,               0.008218,               0.008218,               0.008218
